| Approach/Software | Method | Key Authors | Dynamical? | Open Source? | Language | Production Status | Notes |
|---|---|---|---|---|---|---|---|
| EMsoft / EMsoftOO | Many-beam dynamical electron diffraction using Bloch waves; reciprocity-based Kikuchi master patterns; typically combined with Monte Carlo electron energy/depth distributions for EBSD/ECP/TKD workflows | Marc De Graef; Patrick G. Callahan; Saransh Singh; Elena Pascal; Chaoyi Zhu | Yes | Yes | Fortran (EMsoft), C++/OO rewrite emerging for EMsoftOO | **Production-ready / de facto open research standard** | Established physically accurate route for EBSD master patterns; key lineage includes Callahan & De Graef 2013, Pascal et al. 2018, Singh et al. 2019, Zhu & De Graef 2020; EMsoftOO is the modernization/rewrite rather than a wholly new physics model (pqac-00000012, pqac-00000017) |
| Winkelmann code / Oxford AztecCrystal MapSweeper | Reciprocity-based Bloch-wave dynamical Kikuchi simulation with Bethe perturbation / strong-beam approximations; stereographic master-pattern style outputs projected into detector geometry | Aimo Winkelmann; Gert Nolze; Grzegorz Cios; Tomasz Tokarski; Piotr Bała; Carol Trager-Cowan; Ben Hourahine | Yes | Partly: research code not broadly open; commercial implementation in Oxford software | Research code / commercial backend | **Production-ready in commercial EBSD pattern matching** | Zhang et al. 2025 explicitly state Bloch-wave dynamical simulations by Winkelmann et al. are implemented in AztecCrystal MapSweeper; used for EBSD/TKD/RKD template matching; often single-energy or simplified energy treatments versus EMsoft’s fuller MC coupling (pqac-00000003, pqac-00000012, pqac-00000032) |
| kikuchipy | Python toolkit for EBSD pattern processing, analysis, projection, background correction, I/O, indexing interfaces; can consume master patterns from external simulators | Håkon Wiik Ånes and contributors | **Not by itself for EBSD master-pattern physics** | Yes | Python | **Production-ready for analysis; not a full dynamical simulator** | Useful front end/ecosystem tool, but as of the 2020–2026 window it is not itself a stand-alone generator of physically accurate dynamical EBSD master patterns; commonly paired with EMsoft outputs and orix/diffsims-style objects |
| diffsims | Simulation toolbox mainly for diffraction geometry/kinematical diffraction objects and pattern generation in the pyxem ecosystem | pyxem / diffsims contributors | No for EBSD master patterns | Yes | Python | **Production-ready for kinematical diffraction tasks; not for dynamical EBSD** | Helpful for diffraction simulation workflows and education, but not a replacement for EMsoft/Aztec-style dynamical Kikuchi master-pattern generation |
| pyEBSDindex | High-speed EBSD indexing, Radon/Hough style band detection, pattern center/orientation tools; GPU acceleration for indexing operations | David J. Rowenhorst; Patrick G. Callahan; Håkon W. Ånes | No (indexer, not master-pattern simulator) | Yes | Python + GPU backends | **Production-ready for fast indexing** | Speeds conventional indexing and related processing; important practically, but does not generate dynamical master patterns itself; complements rather than replaces forward models |
| abTEM | Multislice and PRISM TEM/STEM simulation with IAM and DFT-derived electrostatic potentials; GPU acceleration; diffraction/4D-STEM/CBED support | Jacob Madsen; Toma Susi | Dynamical for TEM/STEM, **not currently EBSD-specific** | Yes | Python | **Production-ready for TEM/STEM; research-relevant but not EBSD production** | State-of-the-art for installable Python multislice + DFT-informed scattering, but the retrieved evidence is TEM/transmission focused and does not document EBSD backscatter master-pattern support (pqac-00000009, pqac-00000010, pqac-00000021, pqac-00000023, pqac-00000025) |
| ML surrogates / CNN EBSD models | Neural nets for phase classification, space-group recognition, orientation inference, denoising, or approximate pattern matching; often trained on experimental or simulated EBSD patterns | Kevin Kaufmann; Kenneth S. Vecchio; Chaoyi Zhu; Dipendra Jha; others | Indirect only (surrogate/recognizer, not first-principles solver) | Mixed; papers and some code are open, many models are not standardized | Mostly Python | **Research-to-early-production depending on task** | Strong for fast classification and reducing indexing cost; current literature shows ML mostly replaces search/classification stages, not the authoritative generation of quantitatively accurate dynamical master patterns (pqac-00000013, pqac-00000015, pqac-00000016, pqac-00000017, pqac-00000019) |


*Table: This table compares the main EBSD dynamical simulation and indexing software families discussed in the literature, highlighting which are physically dynamical versus primarily analysis/indexing tools. It is useful for distinguishing production-ready master-pattern engines from Python ecosystem tools and ML accelerators.*
